"","location","year","region","hc_sq","hc_cf","hc_cf_lower","hc_cf_upper","sav_rate","gdp_sq","cs_sq","capital_share","tech_level"
"3175","Sierra Leone",2032,"Sub-Saharan Africa",20082380.6547561,20085547.4126369,20084279.2057943,20087247.1115431,4.46993378943171,21996207566.2877,15345974526.1338,0.54757,54.337019611473
"3176","Sierra Leone",2033,"Sub-Saharan Africa",20314716.5044124,20317930.193962,20316642.7431488,20319655.499752,4.46993378943171,23030103894.3726,15561891714.2261,0.54757,56.1775984315974
"3177","Sierra Leone",2034,"Sub-Saharan Africa",20533090.9804131,20536349.1809736,20535043.4361216,20538098.7318167,4.46993378943171,24112596855.0364,15813227524.2306,0.54757,58.0524446556728
"3178","Sierra Leone",2035,"Sub-Saharan Africa",20731853.7424825,20735154.2863748,20733831.1149732,20736926.8977396,4.46993378943171,25245970654.7646,16100383262.3518,0.54757,59.9710455211828
"3179","Sierra Leone",2036,"Sub-Saharan Africa",20914721.9006456,20918063.345277,20916723.3206909,20919858.2387203,4.46993378943171,26432616865.4916,16423842272.0015,0.54757,61.9288420455267
"3180","Sierra Leone",2037,"Sub-Saharan Africa",21086520.0377317,21089901.7341108,21088545.1063432,21091718.5601685,4.46993378943171,27675039471.1407,16784170631.1031,0.54757,63.9192136245181
"3181","Sierra Leone",2038,"Sub-Saharan Africa",21242361.9525539,21245782.363823,21244409.7435692,21247620.302277,4.46993378943171,28975860151.3688,17182018040.107,0.54757,65.9515930240956
"3182","Sierra Leone",2039,"Sub-Saharan Africa",21378473.7573039,21381930.8386336,21380543.0375458,21383788.7988055,4.46993378943171,30337823813.6647,17618118901.7862,0.54757,68.034564900305
"3183","Sierra Leone",2040,"Sub-Saharan Africa",21492410.5897989,21495901.7337283,21494499.78013,21497778.3399831,4.46993378943171,31763804385.4751,18093293594.3221,0.54757,70.17532672843
"3184","Sierra Leone",2041,"Sub-Saharan Africa",21583325.5583588,21586848.2125516,21585433.1253342,21588742.0850168,4.46993378943171,33256810878.5799,18608449939.6413,0.54757,72.3789743123192
"3185","Sierra Leone",2042,"Sub-Saharan Africa",21656244.3996597,21659796.8596101,21658369.3236715,21661707.078561,4.46993378943171,34819993738.5142,19164584869.4083,0.54757,74.6401005208965
"3186","Sierra Leone",2043,"Sub-Saharan Africa",21709521.4762605,21713101.303177,21711662.2945946,21715026.5627053,4.46993378943171,36456651492.4337,19762786291.5338,0.54757,76.9655911273747
"3187","Sierra Leone",2044,"Sub-Saharan Africa",21739150.0063417,21742753.7760206,21741304.6820774,21744692.2440146,4.46993378943171,38170237709.4535,20404235160.5127,0.54757,79.367772528523
"3188","Sierra Leone",2045,"Sub-Saharan Africa",21759239.7000607,21762864.0507732,21761406.2442567,21764813.9178386,4.46993378943171,39964368288.1454,21090207755.3684,0.54757,81.8230153625208
"3189","Sierra Leone",2046,"Sub-Saharan Africa",21756429.3206206,21760070.7795516,21758605.6641303,21762030.1765201,4.46993378943171,41842829086.5729,21822078169.4447,0.54757,84.3628846936021
"3190","Sierra Leone",2047,"Sub-Saharan Africa",21730292.6501905,21733948.2322277,21732477.0065215,21735915.5566705,4.46993378943171,43809583910.9634,22601321016.7673,0.54757,86.9944136962278
"3191","Sierra Leone",2048,"Sub-Saharan Africa",21682144.2477108,21685810.847772,21684334.760016,21687784.4435928,4.46993378943171,45868782879.8753,23429514360.1746,0.54757,89.7213324752737
"3192","Sierra Leone",2049,"Sub-Saharan Africa",21613526.324026,21617200.5698267,21615720.9612073,21619178.6487449,4.46993378943171,48024771181.5091,24308342866.9144,0.54757,92.5469896967515
"3193","Sierra Leone",2050,"Sub-Saharan Africa",21524777.0713615,21528455.1481637,21526973.5470809,21530435.6664303,4.46993378943171,50282098242.6421,25239601197.9083,0.54757,95.4777088228228
