"","location","year","region","hc_sq","hc_cf","hc_cf_lower","hc_cf_upper","sav_rate","gdp_sq","cs_sq","capital_share","tech_level","tc_share","he_pc","pop","tc","gdp_cf","gdp_cf_lower","gdp_cf_upper","cs_cf","cs_cf_lower","cs_cf_upper"
"390","Bolivia (Plurinational State of)",2037,"Latin America and Caribbean",68911856.8841446,79379209.2031119,79372609.7382753,79388560.9271003,19.7557751815596,158673173512.662,373641195990.991,0.42857,16.919910007685,1.83768665598279,971.335257830034,14709640,262568521.693328,175000460311.032,174990925031.604,175013986699.983,398871191077.509,398858029010.837,398889900819.737
"391","Bolivia (Plurinational State of)",2038,"Latin America and Caribbean",69763547.426,80401437.348179,80394750.9420704,80410910.1942401,19.7557751815596,164394795506.595,386306251624.049,0.42857,17.1089663407646,1.84803446729334,994.572233276253,14867599,273267029.728161,181642142000.374,181632056910.748,181656445488.991,413552201476.219,413537813744.514,413572647974.326
"392","Bolivia (Plurinational State of)",2039,"Latin America and Caribbean",70583169.4254732,81391467.8695146,81384696.678836,81401058.7927649,19.7557751815596,170322734406.636,399468405253.314,0.42857,17.3029302919722,1.85844054599054,1018.36510023731,15023218,284325066.068541,188531336354.53,188520679906.081,188546447286.834,428813390631.009,428797729898.256,428835640569.266
"393","Bolivia (Plurinational State of)",2040,"Latin America and Caribbean",71371870.6164508,82349695.4509091,82342841.8481496,82359401.0384504,19.7557751815596,176464429827.949,413143561483.109,0.42857,17.5017908087874,1.86890522017162,1042.72715714685,15175477,295733356.555324,195676486505.15,195665236628.541,195692435888.744,444674718677.287,444657735717.173,444698841400.444
"394","Bolivia (Plurinational State of)",2041,"Latin America and Caribbean",72124950.3413875,83272314.1310356,83265381.4535073,83282129.7457469,19.7557751815596,182827589652,427348299441.184,0.42857,17.706155436316,1.87942881978132,1067.67202057316,15325650,307526571.90708,203088930121.084,203077064500.739,203105749442.088,461156813917.613,461138457605.174,461182881428.978
"395","Bolivia (Plurinational State of)",2042,"Latin America and Caribbean",72844156.8111945,84160339.6653634,84153330.5688802,84170261.5360553,19.7557751815596,189420199700.019,442099892050.638,0.42857,17.9159589004854,1.89001167662222,1093.21363282977,15472750,319695876.489361,210777849867.395,210765344817.092,210795572445.389,478281519933.258,478261737291.162,478309606856.299
"396","Bolivia (Plurinational State of)",2043,"Latin America and Caribbean",73526957.1053068,85012067.8351172,85004986.1776301,85022090.4586579,19.7557751815596,196250533755.274,457416326249.303,0.42857,18.1315919784292,1.90065412436529,1119.36626976821,15617944,332276149.945783,218755129802.36,218741961825.004,218773788641.872,496071400487.546,496050136507.931,496101584297.101
"397","Bolivia (Plurinational State of)",2044,"Latin America and Caribbean",74172882.730833,85825831.5255828,85818680.26667,85835950.6162574,19.7557751815596,203327163946.739,473316324178.14,0.42857,18.3532349219794,1.91135649856032,1146.14454875711,15759621,345244572.335037,227030643657.552,227016787358.796,227050274367.318,514550245834.217,514527443617.58,514582606651.68
"398","Bolivia (Plurinational State of)",2045,"Latin America and Caribbean",74785502.0732736,86605922.9113414,86598704.9481445,86616134.2558117,19.7557751815596,210658971507.196,489819365361.592,0.42857,18.5806450468027,1.92211913664659,1173.56343685223,15898798,358633755.807289,235616016555.697,235601445900.708,235636655603.361,533742602838.277,533718203313.241,533777223813.754
"399","Bolivia (Plurinational State of)",2046,"Latin America and Caribbean",75369101.9074918,87356147.0343315,87348865.4253428,87366446.2305092,19.7557751815596,218255157919.254,506945709904.26,0.42857,18.8135019836128,1.93294237796341,1201.63825916192,16034856,372441201.704123,244521772850.276,244506461494.781,244543457155.664,553674094097.375,553648036002.749,553711061427.935
"400","Bolivia (Plurinational State of)",2047,"Latin America and Caribbean",75929166.136183,88082499.0110763,88075155.2386041,88092883.7882929,19.7557751815596,226125256463.294,524716422729.732,0.42857,19.0513518947352,1.94382656376093,1230.38470741272,16168507,386694821.677348,253759657625.753,253743577009.681,253782427093.553,574371139753.263,574343359686.399,574410542619.917
"401","Bolivia (Plurinational State of)",2048,"Latin America and Caribbean",76462836.4948318,88780733.7928661,88773330.8211688,88791199.9265078,19.7557751815596,234279144181.819,543153398888.859,0.42857,19.2946330674265,1.9547720372108,1259.81884871983,16297943,401362704.272284,263341094258.095,263324216203.667,263364988386.219,595861164787.249,595831596873.369,595903095795.438
"402","Bolivia (Plurinational State of)",2049,"Latin America and Caribbean",76962701.9161465,89443659.3738189,89436343.0260734,89454022.0366461,19.7557751815596,242727054275.226,562279389966.258,0.42857,19.5442886883214,1.96577914341704,1289.95713456749,16424704,416492853.115802,273280886548.152,273263368074.323,273305710973.741,618172473403.693,618141049495.02,618217028331.707
"403","Bolivia (Plurinational State of)",2050,"Latin America and Caribbean",77438236.1585523,90082188.896523,90074820.2909373,90092623.7468425,19.7557751815596,251479588944.566,582118031615.381,0.42857,19.7994368573154,1.97684822942693,1320.81641000405,16549471,432115555.26721,283592636145.568,283574276628.631,283618649332.913,641334888685.843,641301575062.298,641382120125.166
"404","Botswana",2020,"Sub-Saharan Africa",11681389.0696906,12698824.8342122,12698824.8342122,12698824.8342122,31.8921894669187,34491135830,179718414548.17,0.27796,2.79872806419407,0.967277197491953,874.5876005,2523541,21348365.5576106,35301148874.7631,35301148874.7631,35301148874.7631,179718414548.17,179718414548.17,179718414548.17
"405","Botswana",2021,"Sub-Saharan Africa",12034436.1732196,13091375.6745148,13091151.1046264,13091686.6876999,31.8921894669187,38584198918.9461,181732472208.958,0.27796,3.08016285878677,0.980486307619828,874.689575475733,2569263,22034542.9429226,39539278441.9422,39539089912.1583,39539539538.3116,181997611565.092,181997611565.092,181997611565.092
"406","Botswana",2022,"Sub-Saharan Africa",12350808.2869282,13446617.9200929,13446276.9654372,13447055.2648451,31.8921894669187,40815137300.4396,184951194422.033,0.27796,3.19409387658403,0.993875800983061,874.791562341523,2607583,22671217.4753109,41882910300.5411,41882605305.8684,41883302513.1939,185514699879.577,185514639753.302,185514783148.926
"407","Botswana",2023,"Sub-Saharan Africa",12707576.7853325,13846718.3539866,13846301.7025431,13847248.6138338,31.8921894669187,42382846724.1495,188720475619.97,0.27796,3.24304127958158,1.00744814089003,874.893561098755,2653009,23383883.7511867,43552947092.1853,43552557209.8815,43553444550.7268,189603572340.538,189603417951.097,189603776531.622
"408","Botswana",2024,"Sub-Saharan Africa",13060628.0683654,14244011.2770462,14243540.9583437,14244613.3851262,31.8921894669187,44124781724.512,192801269617.711,0.27796,3.29935050264925,1.02120582428797,874.995571748816,2697696,24105278.0953667,45407765986.0878,45407303438.2148,45408359092.2029,194020839761.089,194020568749.117,194021192393.039
"409","Botswana",2025,"Sub-Saharan Africa",13409611.5161676,14638196.0159194,14637686.5044436,14638852.6470762,31.8921894669187,46043768481.711,197233565126.271,0.27796,3.36206651114825,1.03515138222237,875.097594293093,2741692,24835849.5957024,47451288192.7906,47450759307.0133,47451970163.6112,198809016234.974,198808611256.957,198809540389.853
"410","Botswana",2026,"Sub-Saharan Africa",13753849.1542308,15028610.2023958,15028071.8325294,15029307.7529574,31.8921894669187,47897490600.7847,202056252751.855,0.27796,3.41281808039529,1.0492873803026,875.199628732972,2784984,25575508.5963014,49434464390.9985,49433875325.1874,49435227333.3322,204009740854.373,204009187452.002,204010456296.933
"411","Botswana",2027,"Sub-Saharan Africa",14092884.2475638,15414833.4535552,15414274.1265047,15415561.3280379,31.8921894669187,49807163551.038,207228998566.564,0.27796,3.46119336519384,1.06361641917393,875.301675069841,2827616,26324687.41541,51482245408.1841,51481599598.5,51483084808.131,209583143446.846,209582429848.61,209584066436.294
"412","Botswana",2028,"Sub-Saharan Africa",14427274.3061672,15797476.9649057,15796903.7839924,15798225.2679158,31.8921894669187,52109921483.5973,212752143606.031,0.27796,3.53000605931758,1.07814113499594,875.403733305086,2869672,27084216.1383894,53943926966.106,53943223192.5885,53944844047.8965,215531197041.093,215530313159.92,215532341584.09
"413","Botswana",2029,"Sub-Saharan Africa",14759068.5248414,16178573.2450207,16177992.0298792,16179333.3457082,31.8921894669187,54519143902.7465,218733531316.341,0.27796,3.59720271389707,1.09286419992757,875.505803440096,2911082,27853493.1006201,56524439862.7212,56523679758.7701,56525431712.9085,221967174332.492,221966110196.594,221968554125.801
"414","Botswana",2030,"Sub-Saharan Africa",15087978.0772315,16557952.8337434,16557367.6757513,16558718.6994509,31.8921894669187,57039753030.9845,225184203419.73,0.27796,3.66284777744164,1.10778832261865,875.607885476257,2952053,28634565.4838961,59229610812.082,59228794826.5368,59230676293.5155,228904580160.794,228903326817.898,228906207287.178
"415","Botswana",2031,"Sub-Saharan Africa",15413645.5014666,16935231.2097024,16934645.1531332,16935998.2847445,31.8921894669187,59676898662.2294,232116219356.847,0.27796,3.72702305159782,1.12291624870829,875.709979414957,2992489,29426609.6104674,62065420510.8558,62064548403.2951,62066559418.6104,236358103043.339,236356652131.932,236359988618.761
"416","Botswana",2032,"Sub-Saharan Africa",15735465.9102658,17309815.0042365,17309229.6669754,17310581.041456,31.8921894669187,62435968683.2348,239542677978.344,0.27796,3.78983732977074,1.13825076132993,875.812085257584,3032375,30229557.5437446,65038206493.6974,65037276813.2447,65039420594.4454,244343604184.024,244341947683.993,244345758703.295
"417","Botswana",2033,"Sub-Saharan Africa",16053476.4518162,17681824.1925679,17681240.6036538,17682587.7717145,31.8921894669187,65322600081.4475,247477741507.39,0.27796,3.851364649268,1.15379468162345,875.914203005526,3071835,31044737.0453607,68154631057.2183,68153641859.8347,68155922804.6736,252878172883.446,252876302712.964,252880606880.064
"418","Botswana",2034,"Sub-Saharan Africa",16370670.8603183,18054351.6193737,18053770.2012773,18055112.2187296,31.8921894669187,68342690461.7963,255936661814.713,0.27796,3.91148944558336,1.16955086925408,876.016332660171,3111013,31873748.7775519,71421373087.6771,71420321941.3024,71422745677.1853,261980169152.879,261978077014.218,261982893416.212
"419","Botswana",2035,"Sub-Saharan Africa",16688140.7602698,18428452.5078831,18427873.5333499,18429209.8383967,31.8921894669187,71502410095.9425,264935809052.844,0.27796,3.97023014016424,1.18552222293862,876.118474222908,3149797,32715616.0396477,74845459867.0851,74844344200.7518,74846916720.4158,271669165556.582,271666842791.261,271672191355.595
"420","Botswana",2036,"Sub-Saharan Africa",16995402.6464909,18792229.2367448,18791666.7924528,18792971.4973591,31.8921894669187,74808214528.6084,274492702701.413,0.27796,4.02837206869345,1.20171168097862,876.220627695124,3188322,33571900.8275851,78434049492.743,78432882315.4576,78435581269.881,281965996873.203,281963434435.727,281969336004.69
"421","Botswana",2037,"Sub-Saharan Africa",17292567.6785614,19145629.9666689,19145084.777875,19146355.2108864,31.8921894669187,78266857766.7407,284626045080.625,0.27796,4.08599674431179,1.218122221801,876.322793078209,3226332,34440070.311273,82194807215.4993,82193587944.4609,82196414413.4148,292892739514.565,292889932960.571,292896400206.744
"422","Botswana",2038,"Sub-Saharan Africa",17578958.3655283,19488068.7458575,19487537.3928897,19488780.0547833,31.8921894669187,81885406078.4543,295355757395.366,0.27796,4.14323906034303,1.23475686450601,876.424970373551,3263644,35318233.3361305,86136158407.6382,86134881550.3514,86137847365.8843,304472809880.449,304469754801.925,304476800108.623
"423","Botswana",2039,"Sub-Saharan Africa",17850501.7254046,19815130.7752802,19814603.1665574,19815837.338088,31.8921894669187,85671252429.949,306703018377.895,0.27796,4.20045621707173,1.25161866942264,876.527159582539,3300554,36209643.7980285,90266892468.2154,90265543358.8519,90268678025.0928,316731139983.207,316727830440.865,316735469345.737
"424","Botswana",2040,"Sub-Saharan Africa",18121936.56247,20143131.4101117,20142607.7701666,20143832.9587312,31.8921894669187,89632131589.8955,318690305602.641,0.27796,4.25677530212163,1.26871073867164,876.629360706563,3336993,37113671.8719445,94596042947.8023,94594618923.8606,94597928746.1025,329694219404.115,329690645078.375,329698901751.701
